date_mesure,geocode_region,libelle_region,carburant,valeur
2022-01-01T00:00:00.000,52,Pays de la Loire,Diesel - thermique,13604.0
2021-01-01T00:00:00.000,44,Grand Est,Gaz et ND,3175.0
2021-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Electrique et hydrogène,19514.0
2019-01-01T00:00:00.000,76,Occitanie,Electrique et hydrogène,3909.0
2019-01-01T00:00:00.000,76,Occitanie,Diesel - hybride NR,865.0
2023-01-01T00:00:00.000,11,Île-de-France,Diesel - thermique,23697.0
2021-01-01T00:00:00.000,01,Guadeloupe,Essence - hybride NR,1645.0
2020-01-01T00:00:00.000,24,Centre-Val de Loire,Essence - hybride NR,4376.0
2024-01-01T00:00:00.000,11,Île-de-France,Diesel - hybride NR,2721.0
2022-01-01T00:00:00.000,04,La Réunion,Gaz et ND,3.0
2022-01-01T00:00:00.000,28,Normandie,Hybride rechargeable,6478.0
2023-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Essence - thermique,72238.0
2023-01-01T00:00:00.000,28,Normandie,Essence - hybride NR,26197.0
2021-01-01T00:00:00.000,52,Pays de la Loire,Diesel - hybride NR,1395.0
2020-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Electrique et hydrogène,4101.0
2024-01-01T00:00:00.000,02,Martinique,Essence - hybride NR,3070.0
2023-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Gaz et ND,5455.0
2024-01-01T00:00:00.000,06,Mayotte,Diesel - hybride NR,21.0
2023-01-01T00:00:00.000,06,Mayotte,Diesel - hybride NR,42.0
2021-01-01T00:00:00.000,76,Occitanie,Hybride rechargeable,10925.0
2024-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Hybride rechargeable,17477.0
2020-01-01T00:00:00.000,03,Guyane,Essence - hybride NR,169.0
2023-01-01T00:00:00.000,04,La Réunion,Electrique et hydrogène,3631.0
2023-01-01T00:00:00.000,44,Grand Est,Diesel - thermique,13229.0
2019-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Diesel - thermique,29656.0
2021-01-01T00:00:00.000,03,Guyane,Electrique et hydrogène,124.0
2021-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Hybride rechargeable,17586.0
2020-01-01T00:00:00.000,76,Occitanie,Essence - hybride NR,11713.0
2020-01-01T00:00:00.000,06,Mayotte,Diesel - thermique,592.0
2024-01-01T00:00:00.000,24,Centre-Val de Loire,Diesel - hybride NR,576.0
2024-01-01T00:00:00.000,11,Île-de-France,Diesel - thermique,18397.0
2023-01-01T00:00:00.000,53,Bretagne,Electrique et hydrogène,13885.0
2021-01-01T00:00:00.000,52,Pays de la Loire,Electrique et hydrogène,8059.0
2019-01-01T00:00:00.000,01,Guadeloupe,Gaz et ND,1.0
2021-01-01T00:00:00.000,02,Martinique,Essence - hybride NR,1401.0
2019-01-01T00:00:00.000,01,Guadeloupe,Diesel - hybride NR,33.0
2024-01-01T00:00:00.000,04,La Réunion,Hybride rechargeable,986.0
2023-01-01T00:00:00.000,76,Occitanie,Diesel - thermique,12686.0
2022-01-01T00:00:00.000,24,Centre-Val de Loire,Diesel - hybride NR,901.0
2023-01-01T00:00:00.000,52,Pays de la Loire,Diesel - hybride NR,1236.0
2021-01-01T00:00:00.000,28,Normandie,Electrique et hydrogène,8221.0
2021-01-01T00:00:00.000,28,Normandie,Hybride rechargeable,6231.0
2022-01-01T00:00:00.000,28,Normandie,Essence - hybride NR,16440.0
2019-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Hybride rechargeable,685.0
2024-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Gaz et ND,6120.0
2024-01-01T00:00:00.000,02,Martinique,Electrique et hydrogène,627.0
2023-01-01T00:00:00.000,94,Corse,Essence - thermique,13220.0
2019-01-01T00:00:00.000,32,Hauts-de-France,Diesel - hybride NR,1519.0
2024-01-01T00:00:00.000,52,Pays de la Loire,Diesel - thermique,7502.0
2023-01-01T00:00:00.000,52,Pays de la Loire,Diesel - thermique,10196.0
2024-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Diesel - hybride NR,1752.0
2021-01-01T00:00:00.000,32,Hauts-de-France,Diesel - thermique,48549.0
2019-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Hybride rechargeable,1971.0
2023-01-01T00:00:00.000,11,Île-de-France,Gaz et ND,7436.0
2021-01-01T00:00:00.000,76,Occitanie,Essence - hybride NR,20448.0
2022-01-01T00:00:00.000,11,Île-de-France,Diesel - thermique,38813.0
2020-01-01T00:00:00.000,03,Guyane,Essence - thermique,2644.0
2021-01-01T00:00:00.000,03,Guyane,Diesel - thermique,1082.0
2021-01-01T00:00:00.000,04,La Réunion,Diesel - hybride NR,1129.0
2024-01-01T00:00:00.000,06,Mayotte,Electrique et hydrogène,40.0
2020-01-01T00:00:00.000,44,Grand Est,Essence - thermique,60168.0
2020-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Diesel - thermique,45492.0
2024-01-01T00:00:00.000,28,Normandie,Diesel - thermique,7598.0
2023-01-01T00:00:00.000,24,Centre-Val de Loire,Hybride rechargeable,3995.0
2021-01-01T00:00:00.000,11,Île-de-France,Essence - hybride NR,54496.0
2020-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Diesel - thermique,20171.0
2021-01-01T00:00:00.000,94,Corse,Essence - thermique,14233.0
2022-01-01T00:00:00.000,03,Guyane,Diesel - thermique,731.0
2023-01-01T00:00:00.000,06,Mayotte,Essence - hybride NR,699.0
2019-01-01T00:00:00.000,53,Bretagne,Diesel - hybride NR,384.0
2019-01-01T00:00:00.000,01,Guadeloupe,Essence - hybride NR,348.0
2019-01-01T00:00:00.000,32,Hauts-de-France,Diesel - thermique,107412.0
2021-01-01T00:00:00.000,03,Guyane,Essence - hybride NR,471.0
2023-01-01T00:00:00.000,52,Pays de la Loire,Gaz et ND,3416.0
2020-01-01T00:00:00.000,06,Mayotte,Gaz et ND,5.0
2020-01-01T00:00:00.000,44,Grand Est,Diesel - thermique,39685.0
2020-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Diesel - hybride NR,771.0
2023-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Diesel - thermique,7479.0
2019-01-01T00:00:00.000,04,La Réunion,Essence - hybride NR,1160.0
2020-01-01T00:00:00.000,01,Guadeloupe,Diesel - thermique,3604.0
2021-01-01T00:00:00.000,04,La Réunion,Gaz et ND,81.0
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Essence - thermique,51889.0
2024-01-01T00:00:00.000,11,Île-de-France,Hybride rechargeable,46053.0
2020-01-01T00:00:00.000,52,Pays de la Loire,Essence - thermique,35906.0
2020-01-01T00:00:00.000,52,Pays de la Loire,Diesel - hybride NR,853.0
2022-01-01T00:00:00.000,11,Île-de-France,Diesel - hybride NR,4710.0
2020-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Hybride rechargeable,6474.0
2019-01-01T00:00:00.000,02,Martinique,Diesel - thermique,3279.0
2022-01-01T00:00:00.000,06,Mayotte,Essence - thermique,997.0
2024-01-01T00:00:00.000,76,Occitanie,Gaz et ND,4692.0
2021-01-01T00:00:00.000,04,La Réunion,Essence - hybride NR,4601.0
2021-01-01T00:00:00.000,76,Occitanie,Diesel - thermique,27256.0
2019-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Gaz et ND,334.0
2021-01-01T00:00:00.000,52,Pays de la Loire,Diesel - thermique,17701.0
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Essence - thermique,66023.0
2021-01-01T00:00:00.000,94,Corse,Diesel - hybride NR,182.0
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Essence - hybride NR,9856.0
2020-01-01T00:00:00.000,02,Martinique,Essence - hybride NR,685.0
2020-01-01T00:00:00.000,53,Bretagne,Essence - hybride NR,6293.0
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Diesel - hybride NR,1971.0
2022-01-01T00:00:00.000,76,Occitanie,Essence - hybride NR,25686.0
2023-01-01T00:00:00.000,28,Normandie,Diesel - hybride NR,1219.0
2019-01-01T00:00:00.000,11,Île-de-France,Diesel - thermique,135466.0
2020-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Essence - thermique,30572.0
2021-01-01T00:00:00.000,52,Pays de la Loire,Gaz et ND,2172.0
2020-01-01T00:00:00.000,03,Guyane,Electrique et hydrogène,44.0
2021-01-01T00:00:00.000,06,Mayotte,Diesel - thermique,483.0
2023-01-01T00:00:00.000,03,Guyane,Diesel - hybride NR,75.0
2019-01-01T00:00:00.000,94,Corse,Essence - thermique,23241.0
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Electrique et hydrogène,25223.0
2022-01-01T00:00:00.000,44,Grand Est,Essence - thermique,42302.0
2023-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Essence - hybride NR,31871.0
